Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-06-23,25.73,26.43,25.67,25.91,24.972382,1168100,569
2021-06-24,26.17,27.02,26.01,26.879999,25.90728,1411200,570
2021-06-25,27.190001,27.85,27,27.370001,26.379551,3202800,571
2021-06-28,27.360001,27.676001,26.84,27.459999,26.466291,1281800,572
2021-06-29,27.620001,27.9,27.25,27.290001,26.302443,844900,573
2021-06-30,27.299999,27.84,26.99,27.719999,26.716881,962200,574
2021-07-01,27.9,28.049999,27.450001,27.48,26.485563,1370900,575
2021-07-02,27.549999,27.610001,27.17,27.459999,26.466291,585300,576
2021-07-06,28.040001,28.540001,27.530001,28.27,27.246977,2353600,577
2021-07-07,28.110001,28.93,27.459999,28.040001,27.025303,2440700,578
2021-07-08,28.040001,28.25,27.219999,28,26.98675,4343600,579
2021-07-09,29.4,29.790001,27.629999,28.379999,27.352999,7826500,580
2021-07-12,28.4,28.83,27.701,28.719999,27.680695,2291600,581
2021-07-13,28.290001,28.798,27.940001,28.700001,27.661417,1955200,582
2021-07-14,29.48,30.08,28.889999,29.879999,28.798717,4952100,583
2021-07-15,30,30.09,27.98,28.41,27.381912,3516100,584
2021-07-16,28.33,28.629999,27.82,27.93,26.919283,2371400,585
2021-07-19,27,27.4,26.24,26.5,25.541031,3326500,586
2021-07-20,26.48,27.67,26.4,27.379999,26.389185,1644300,587
2021-07-21,27.74,28.24,27.540001,27.809999,26.803625,829100,588
2021-07-22,27.75,27.75,26.879999,26.940001,25.965111,2141500,589
2021-07-23,27.15,27.309999,26.16,26.610001,25.647053,4890300,590
2021-07-26,26.879999,27.584999,26.76,27.16,26.177145,2762200,591
2021-07-27,27.059999,27.1,26.25,26.5,25.541031,1342800,592
2021-07-28,26.809999,27,26.200001,26.530001,25.569946,2090000,593
2021-07-29,26.66,27.639999,26.66,27.459999,26.466291,1644100,594
2021-07-30,27.34,27.93,27,27.52,26.60162,1485900,595
2021-08-02,28.25,29.299999,28.01,28.5,27.548916,3662400,596
2021-08-03,28.690001,28.91,27.884001,28.040001,27.104265,1359100,597
2021-08-04,27.809999,28.030001,27.35,27.4,26.485622,1025700,598
2021-08-05,27.42,27.979,27.42,27.67,26.746613,767000,599
2021-08-06,28.120001,28.6,27.17,27.18,26.272966,2692200,600
2021-08-09,27.110001,27.215,26.379999,26.450001,25.567327,2344800,601
2021-08-10,26.4,27.594999,25.879999,27.32,26.408295,1582400,602
2021-08-11,27.110001,28.67,27,28.58,27.626245,1794600,603
2021-08-12,28.57,29.08,27.969999,28.27,27.32659,1009400,604
